,Year Code,County,Deaths,Population,Crude Rate
325,1999,"Bay County, FL",13.0,148149.0,8.774949544040123
326,1999,"Bradford County, FL",0.0,25887.0,0.0
327,1999,"Brevard County, FL",44.0,472138.0,9.319309185026412
328,1999,"Broward County, FL",96.0,1594130.0,6.022093555732594
329,1999,"Calhoun County, FL",,12795.0,
330,1999,"Charlotte County, FL",19.0,140240.0,13.548203080433543
331,1999,"Citrus County, FL",14.0,116634.0,12.003360941063498
332,1999,"Clay County, FL",,138704.0,
333,1999,"Collier County, FL",20.0,245094.0,8.160134479016214
334,1999,"Columbia County, FL",,55445.0,
335,1999,"DeSoto County, FL",,31353.0,
336,1999,"Dixie County, FL",,13702.0,
337,1999,"Duval County, FL",61.0,773150.0,7.889801461553386
338,1999,"Escambia County, FL",31.0,293956.0,10.545795969464818
339,1999,"Flagler County, FL",0.0,48324.0,0.0
340,1999,"Franklin County, FL",,10847.0,
341,1999,"Gadsden County, FL",,45117.0,
342,1999,"Gilchrist County, FL",,14062.0,
343,1999,"Glades County, FL",,10384.0,
344,1999,"Gulf County, FL",,12706.0,
345,1999,"Hamilton County, FL",,12807.0,
346,1999,"Hardee County, FL",,26497.0,
347,1999,"Hendry County, FL",,35638.0,
348,1999,"Hernando County, FL",,129263.0,
349,1999,"Highlands County, FL",,86604.0,
350,1999,"Hillsborough County, FL",92.0,984930.0,9.340765333577005
351,1999,"Holmes County, FL",,18666.0,
352,1999,"Indian River County, FL",12.0,111294.0,10.782252412528978
353,1999,"Jackson County, FL",,46039.0,
354,1999,"Jefferson County, FL",0.0,13538.0,0.0
355,1999,"Lafayette County, FL",,6513.0,
356,1999,"Lake County, FL",13.0,205123.0,6.337660818143261
357,1999,"Lee County, FL",50.0,431981.0,11.574583141388162
358,1999,"Leon County, FL",22.0,235871.0,9.327132203619776
359,1999,"Levy County, FL",,33893.0,
360,1999,"Liberty County, FL",,7114.0,
361,1999,"Madison County, FL",,18609.0,
362,1999,"Manatee County, FL",30.0,259053.0,11.580641799168509
363,1999,"Marion County, FL",20.0,254964.0,7.844244677679986
364,1999,"Martin County, FL",10.0,125974.0,7.938145966628034
365,1999,"Miami-Dade County, FL",121.0,2220961.0,5.448092064651293
366,1999,"Monroe County, FL",21.0,79973.0,26.25886236604854
367,1999,"Nassau County, FL",,56876.0,
